edge_id,label,upstream_node,downstream_node,length_m,n_manning,q_initial_m3s,q_final_m3s,ground_elev_upstream_m,ground_elev_downstream_m
1,1-2,1,2,100,0.013,0.0022,0.004,200.5,200.2
2,2-2,3,2,100,0.013,0.0022,0.004,200.6,200.2
3,10-2,2,4,80,0.013,0.0056,0.0112,200.2,200.0
4,10-4,4,5,90,0.013,0.0074,0.014,200.0,199.75
5,10-6,5,6,80,0.013,0.009,0.018,199.75,199.55
6,4-2,7,8,90,0.013,0.0022,0.0036,200.4,200.1
7,5-2,9,8,90,0.013,0.0022,0.0036,200.45,200.1
8,8-2,8,10,80,0.013,0.0052,0.0112,200.1,199.9
9,8-4,10,12,60,0.013,0.0064,0.0128,199.9,199.75
10,3-2,11,12,80,0.013,0.0022,0.0032,200.3,199.75
11,9-2,12,13,80,0.013,0.0096,0.0192,199.75,199.55
12,9-4,13,6,80,0.013,0.0104,0.0208,199.55,199.55
13,11-2,6,14,80,0.013,0.0218,0.0436,199.55,199.2
14,6-2,15,18,90,0.013,0.0022,0.0036,200.6,200.2
15,7-2,16,18,90,0.013,0.0022,0.0036,200.55,200.2
16,12-2,18,17,80,0.013,0.0052,0.0104,200.2,200.0
17,12-4,17,14,70,0.013,0.0066,0.0132,200.0,199.2
18,13-2,14,19,60,0.013,0.0296,0.0592,199.2,199.0
