trecho_id;rotulo;montante;jusante;comprimento_m;diametro_mm;declividade;cota_inv_montante_m;cota_inv_jusante_m;profundidade_montante_m;profundidade_jusante_m;classe_profundidade_m;y_D_inicial;y_D_final;v_inicial_ms;v_final_ms;v_critica_ms;tensao_trativa_Pa;custo_coletor;custo_pv_montante;total_trecho;viola_lamina;viola_arraste;viola_velocidade;viola_profundidade;viola_cobertura
1;1-2;1;2;100.0;150;0.005;199.0;198.5;1.5;1.7;2.0;0.3066;0.422;0.4787;0.5643;3.4353;1.28048;4687.88;556.0;5243.88;nao;nao;nao;nao;nao
2;2-2;3;2;100.0;150;0.005;199.1;198.6;1.5;1.6;2.0;0.3066;0.422;0.4787;0.5643;3.4353;1.28048;4687.88;556.0;5243.88;nao;nao;nao;nao;nao
3;10-2;2;4;80.0;200;0.004;198.5;198.18;1.7;1.82;2.0;0.3549;0.5234;0.5607;0.6729;4.2624;1.53523;4361.7;769.0;5130.7;nao;nao;nao;nao;nao
4;10-4;4;5;90.0;200;0.003;198.18;197.91;1.82;1.84;2.0;0.4472;0.6639;0.5442;0.6322;4.5309;1.36598;4906.91;769.0;5675.91;nao;nao;nao;nao;nao
5;10-6;5;6;80.0;200;0.005;197.91;197.51;1.84;2.04;2.0;0.4324;0.6619;0.6916;0.8156;4.5282;2.22373;4361.7;769.0;5130.7;nao;nao;nao;nao;nao
6;4-2;7;8;90.0;150;0.004;198.9;198.54;1.5;1.56;2.0;0.325;0.4235;0.4418;0.5056;3.4395;1.07379;4219.09;556.0;4775.09;nao;nao;nao;nao;nao
7;5-2;9;8;90.0;150;0.004;198.95;198.59;1.5;1.51;2.0;0.325;0.4235;0.4418;0.5056;3.4395;1.07379;4219.09;556.0;4775.09;nao;nao;nao;nao;nao
8;8-2;8;10;80.0;200;0.003;198.54;198.3;1.56;1.6;2.0;0.3684;0.5719;0.495;0.603;4.3729;1.18507;4361.7;769.0;5130.7;nao;nao;nao;nao;nao
9;8-4;10;12;60.0;200;0.003;198.3;198.12;1.6;1.63;2.0;0.4124;0.6239;0.5236;0.621;4.4705;1.28951;3271.27;769.0;4040.27;nao;nao;nao;nao;nao
10;3-2;11;12;80.0;150;0.006;198.8;198.32;1.5;1.43;2.0;0.2925;0.3558;0.511;0.5676;3.2223;1.47818;3750.3;556.0;4306.3;nao;nao;nao;nao;nao
11;9-2;12;13;80.0;250;0.004;198.12;197.8;1.63;1.75;2.0;0.3445;0.5062;0.6406;0.7702;4.7164;1.87485;5154.95;769.0;5923.95;nao;nao;nao;nao;nao
12;9-4;13;6;80.0;200;0.006;197.8;197.32;1.75;2.23;2.0;0.4456;0.6883;0.7683;0.9021;4.5613;2.72528;4361.7;769.0;5130.7;nao;nao;nao;nao;nao
13;11-2;6;14;80.0;250;0.007;197.32;196.76;2.23;2.44;3.0;0.4631;0.7255;0.9801;1.143;5.1411;4.08111;6443.25;844.0;7287.25;nao;nao;nao;nao;nao
14;6-2;15;18;90.0;150;0.005;199.1;198.65;1.5;1.55;2.0;0.3066;0.3983;0.4787;0.5486;3.3633;1.28048;4219.09;556.0;4775.09;nao;nao;nao;nao;nao
15;7-2;16;18;90.0;150;0.006;199.05;198.51;1.5;1.69;2.0;0.2925;0.379;0.511;0.5863;3.3015;1.47818;4219.09;556.0;4775.09;nao;nao;nao;nao;nao
16;12-2;18;17;80.0;150;0.006;198.51;198.03;1.69;1.97;2.0;0.4647;0.7291;0.6465;0.7534;3.9848;2.10376;3750.3;556.0;4306.3;nao;nao;nao;nao;nao
17;12-4;17;14;70.0;200;0.006;198.03;197.61;1.97;1.59;2.0;0.3478;0.5115;0.6794;0.8164;4.2323;2.26638;3816.49;769.0;4585.49;nao;nao;nao;nao;nao
18;13-2;14;19;60.0;300;0.007;196.76;196.34;2.44;2.66;3.0;0.4185;0.6352;1.0556;1.2499;5.4978;4.5616;5760.56;844.0;6604.56;nao;nao;nao;nao;nao

resumo_chave;resumo_valor
execucao_melhor;3
seed_melhor;44
custo_total_USD;93684.97
custo_pv_final_USD;844.0
viavel;sim
execucoes_viaveis;1
custo_medio_viaveis_USD;93684.97
desvio_padrao_USD;0.0
custo_minimo_USD;93684.97
custo_maximo_USD;93684.97
